Code Mod,NCIC Category Assignment,Description,NC Non-Facility Rate,NC Facility Rate
63170,Major surgery,INCISE SPINAL CORD TRACT(S),2812.45,2812.45
63172,Major surgery,DRAINAGE OF SPINAL CYST,2495.63,2495.63
63173,Major surgery,DRAINAGE OF SPINAL CYST,3040.54,3040.54
63185,Major surgery,INCISE SPINE NRV HALF SEGMNT,2177.86,2177.86
63190,Major surgery,INCISE SPINE NRV >2 SEGMNTS,2224.27,2224.27
63191,Major surgery,INCISE SPINE ACCESSORY NERVE,2443.00,2443.00
63197,Major surgery,LAM W/CORDOTOMY 1STG THRC,3016.67,3016.67
63200,Major surgery,RELEASE SPINAL CORD LUMBAR,2731.15,2731.15
63250,Major surgery,REVISE SPINAL CORD VSLS CRVL,5183.57,5183.57
63251,Major surgery,REVISE SPINAL CORD VSLS THRC,5300.84,5300.84
63252,Major surgery,REVISE SPINE CORD VSL THRLMB,5300.22,5300.22
63265,Major surgery,EXCISE INTRASPINL LESION CRV,2937.97,2937.97
63266,Major surgery,EXCISE INTRSPINL LESION THRC,3028.41,3028.41
63267,Major surgery,EXCISE INTRSPINL LESION LMBR,2432.63,2432.63
63268,Major surgery,EXCISE INTRSPINL LESION SCRL,2584.57,2584.57
63270,Major surgery,EXCISE INTRSPINL LESION CRVL,3650.26,3650.26
63271,Major surgery,EXCISE INTRSPINL LESION THRC,3649.27,3649.27
63272,Major surgery,EXCISE INTRSPINL LESION LMBR,3329.29,3329.29
63273,Major surgery,EXCISE INTRSPINL LESION SCRL,3287.72,3287.72
63275,Major surgery,BX/EXC XDRL SPINE LESN CRVL,3171.91,3171.91
63276,Major surgery,BX/EXC XDRL SPINE LESN THRC,3151.82,3151.82
63277,Major surgery,BX/EXC XDRL SPINE LESN LMBR,2764.96,2764.96
63278,Major surgery,BX/EXC XDRL SPINE LESN SCRL,2814.10,2814.10
63280,Major surgery,BX/EXC IDRL SPINE LESN CRVL,3718.28,3718.28
63281,Major surgery,BX/EXC IDRL SPINE LESN THRC,3689.75,3689.75
63282,Major surgery,BX/EXC IDRL SPINE LESN LMBR,3491.51,3491.51
63283,Major surgery,BX/EXC IDRL SPINE LESN SCRL,3352.93,3352.93
63285,Major surgery,BX/EXC IDRL IMED LESN CERVL,4583.69,4583.69
63286,Major surgery,BX/EXC IDRL IMED LESN THRC,4532.97,4532.97
63287,Major surgery,BX/EXC IDRL IMED LESN THRLMB,4803.94,4803.94
63290,Major surgery,BX/EXC XDRL/IDRL LSN ANY LVL,4884.65,4884.65
63295,Major surgery,REPAIR LAMINECTOMY DEFECT,572.01,572.01
63300,Major surgery,REMOVE VERT XDRL BODY CRVCL,3214.38,3214.38
63301,Major surgery,REMOVE VERT XDRL BODY THRC,3740.43,3740.43
63302,Major surgery,REMOVE VERT XDRL BODY THRLMB,3830.91,3830.91
63303,Major surgery,REMOV VERT XDRL BDY LMBR/SAC,4059.45,4059.45
63304,Major surgery,REMOVE VERT IDRL BODY CRVCL,4125.03,4125.03
63305,Major surgery,REMOVE VERT IDRL BODY THRC,4385.24,4385.24
63306,Major surgery,REMOV VERT IDRL BDY THRCLMBR,4310.94,4310.94
63307,Major surgery,REMOV VERT IDRL BDY LMBR/SAC,4219.27,4219.27
63308,Major surgery,REMOVE VERTEBRAL BODY ADD-ON,555.54,555.54
63600,Major surgery,REMOVE SPINAL CORD LESION,1936.78,1936.78
63610,Pain management,STIMULATION OF SPINAL CORD,844.88,844.88
63620,Major surgery,SRS SPINAL LESION,1989.21,1989.21
63621,Major surgery,SRS SPINAL LESION ADDL,435.57,435.57
63650,Pain management,IMPLANT NEUROELECTRODES,3227.22,625.92
63655,Major surgery,IMPLANT NEUROELECTRODES,1495.92,1495.92
63661,Pain management,REMOVE SPINE ELTRD PERQ ARAY,998.98,494.64
63662,Major surgery,REMOVE SPINE ELTRD PLATE,1514.00,1514.00
63663,Pain management,REVISE SPINE ELTRD PERQ ARAY,1312.54,677.85
63664,Major surgery,REVISE SPINE ELTRD PLATE,1577.32,1577.32
63685,Pain management,INS/RPLC SPI NPG/RCVR POCKET,507.70,507.70
63688,Pain management,REV/RMV IMP SP NPG/R DTCH CN,447.78,447.78
63700,Major surgery,REPAIR OF SPINAL HERNIATION,2323.62,2323.62
63702,Major surgery,REPAIR OF SPINAL HERNIATION,2536.44,2536.44
63704,Major surgery,REPAIR OF SPINAL HERNIATION,2948.91,2948.91
63706,Major surgery,REPAIR OF SPINAL HERNIATION,3267.11,3267.11
63707,Major surgery,REPAIR SPINAL FLUID LEAKAGE,1682.44,1682.44
63709,Major surgery,REPAIR SPINAL FLUID LEAKAGE,1982.55,1982.55
63710,Major surgery,GRAFT REPAIR OF SPINE DEFECT,1935.38,1935.38
63740,Major surgery,INSTALL SPINAL SHUNT,1752.04,1752.04
63741,Major surgery,INSTALL SPINAL SHUNT,1199.00,1199.00
63744,Major surgery,REVISION OF SPINAL SHUNT,1266.29,1266.29
63746,Major surgery,REMOVAL OF SPINAL SHUNT,1090.32,1090.32
64400,Pain management,NJX AA&/STRD TRIGEMINAL NRV,164.56,76.69
64405,Pain management,NJX AA&/STRD GR OCPL NRV,111.48,78.27
64408,Pain management,NJX AA&/STRD VAGUS NRV,119.92,67.68
64415,Pain management,NJX AA&/STRD BRCH PLXS IMG,198.86,105.61
64416,Pain management,NJX AA&/STRD BRCH PL NFS IMG,117.12,117.12
64417,Pain management,NJX AA&/STRD AX NERVE IMG,237.18,97.56
64418,Pain management,NJX AA&/STRD SPRSCAP NRV,128.46,83.55
64420,Pain management,NJX AA&/STRD NTRCOST NRV 1,146.59,88.49
64421,Pain management,NJX AA&/STRD NTRCOST NRV EA,50.22,37.03
64425,Pain management,NJX AA&/STRD II IH NERVES,162.66,82.10
64430,Pain management,NJX AA&/STRD PUDENDAL NERVE,145.17,82.67
64435,Pain management,NJX AA&/STRD PARACRV NRV,117.34,65.10
64445,Pain management,NJX AA&/STRD SCIATIC NRV IMG,231.72,108.67
64446,Pain management,NJX AA&/STRD SC NRV NFS IMG,114.47,114.47
64447,Pain management,NJX AA&/STRD FEMORAL NRV IMG,173.35,96.20
64448,Pain management,NJX AA&/STRD FEM NRV NFS IMG,109.45,109.45
64449,Pain management,NJX AA&/STRD LMBR PLEX NFS,97.96,97.96
64450,Pain management,NJX AA&/STRD OTHER PN/BRANCH,110.35,62.51
64451,Pain management,NJX AA&/STRD NRV NRVTG SI JT,331.97,123.98
64454,Pain management,NJX AA&/STRD GNCLR NRV BRNCH,323.16,124.47
64455,Pain management,NJX AA&/STRD PLTR COM DG NRV,74.98,50.58
64461,Pain management,PVB THORACIC SINGLE INJ SITE,198.45,117.41
64462,Other professional services,PVB THORACIC 2ND+ INJ SITE,97.74,67.19
64463,Pain management,PVB THORACIC CONT INFUSION,330.37,123.36
64466,Pain management,THRC FASCIAL PLN BLK UNI NJX,184.92,99.97
64467,Pain management,THRC FASCIAL PLN BLK UNI NFS,339.51,115.42
64468,Pain management,THRC FASCIAL PLN BLK BI NJX,213.27,111.23
64469,Pain management,THRC FASCIAL PLN BLK BI NFS,516.12,121.14
64473,Pain management,LWR XTR FSCL PLN BLK UNI NJX,174.31,89.37
64474,Pain management,LWR XTR FSCL PLN BLK UNI NFS,335.34,111.23
64479,Pain management,NJX AA&/STRD TFRM EPI C/T 1,392.73,197.43
64480,Major surgery,NJX AA&/STRD TFRM EPI C/T EA,237.84,111.09
64483,Pain management,NJX AA&/STRD TFRM EPI L/S 1,361.62,167.79
64484,Major surgery,NJX AA&/STRD TFRM EPI L/S EA,194.92,91.55
64486,Pain management,TAP BLOCK UNIL BY INJECTION,162.46,78.99
64487,Pain management,TAP BLOCK UNI BY INFUSION,302.43,90.55
64488,Pain management,TAP BLOCK BI INJECTION,188.23,91.56
64489,Pain management,TAP BLOCK BI BY INFUSION,491.89,113.99
64490,Pain management,INJ PARAVERT F JNT C/T 1 LEV,285.98,159.04
64491,Major surgery,INJ PARAVERT F JNT C/T 2 LEV,174.41,107.25
64492,Major surgery,INJ PARAVERT F JNT C/T 3 LEV,174.00,107.99
64493,Pain management,INJ PARAVERT F JNT L/S 1 LEV,263.47,137.02
64494,Major surgery,INJ PARAVERT F JNT L/S 2 LEV,161.89,91.81
64495,Major surgery,INJ PARAVERT F JNT L/S 3 LEV,160.47,92.72
64505,Pain management,N BLOCK SPENOPALATINE GANGL,214.28,156.66
64510,Pain management,N BLOCK STELLATE GANGLION,214.02,114.92
64517,Pain management,N BLOCK INJ HYPOGAS PLXS,289.00,191.36
64520,Pain management,N BLOCK LUMBAR/THORACIC,333.53,127.97
64530,Pain management,N BLOCK INJ CELIAC PELUS,330.60,142.63
64553,Pain management,IMPLANT NEUROELECTRODES,5444.40,662.64
64555,Pain management,IMPLANT NEUROELECTRODES,3014.47,492.77
64561,Pain management,IMPLANT NEUROELECTRODES,1056.61,455.11
64566,Pain management,NEUROELTRD STIM POST TIBIAL,166.90,44.83
64568,Major surgery,OPN IMPLTJ CRNL NRV NEA&PG,1082.52,1082.52
64569,Major surgery,REVISE/REPL VAGUS N ELTRD,1372.29,1372.29
64570,Major surgery,REMOVE VAGUS N ELTRD,1310.85,1310.85
64575,Major surgery,OPN IMPLTJ NEA PERPH NERVE,564.58,564.58
64580,Major surgery,OPN IMPLTJ NEA NEUROMUSCULAR,562.65,562.65
64581,Major surgery,OPN IMPLTJ NEA SACRAL NERVE,1181.10,1181.10
64582,Major surgery,OPN MPLTJ HPGLSL NSTM ARY PG,1505.15,1505.15
64583,Major surgery,REV/RPLCT HPGLSL NSTM ARY PG,1554.48,1554.48
64584,Major surgery,RMVL HPGLSL NSTIM ARY PG,1311.34,1311.34
64585,Pain management,REV/RMV PERPH NSTIM ELTRD RA,354.79,216.63
64590,Pain management,INS/RPL PRPH SAC/GSTR NPG/R,617.00,443.20
64595,Pain management,REV/RMV PRPH SAC/GSTR NPG/R,500.82,346.05
64596,Pain management,INS/RPLCMT PRQ ELTRD RA PN 1,UCR or Pay Per Agreement,UCR or Pay Per Agreement
64597,Pain management,INS/RPLCM PRQ ELTRD RA PN EA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
64598,Pain management,REVJ/RMVL NEA PN W/INT NSTIM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
64600,Pain management,INJECTION TREATMENT OF NERVE,703.64,357.98
64605,Pain management,INJECTION TREATMENT OF NERVE,1299.70,624.96
64610,Pain management,INJECTION TREATMENT OF NERVE,1113.99,709.73
64611,Pain management,CHEMODENERV SALIV GLANDS,193.94,166.11
64612,Pain management,DESTROY NERVE FACE MUSCLE,204.12,177.28
64615,Pain management,CHEMODENERV MUSC MIGRAINE,223.13,179.67
64616,Pain management,CHEMODENERV MUSC NECK DYSTON,203.38,161.40
64617,Pain management,CHEMODENER MUSCLE LARYNX EMG,239.87,162.72
64620,Pain management,INJECTION TREATMENT OF NERVE,317.46,269.13
64624,Pain management,DSTRJ NULYT AGT GNCLR NRV,566.10,221.89
64625,Pain management,RF ABLTJ NRV NRVTG SI JT,690.26,296.74
64628,Pain management,TRML DSTRJ IOS BVN 1ST 2 L/S,619.50,619.50
64629,Pain management,TRML DSTRJ IOS BVN EA ADDL,292.94,292.94
64630,Pain management,INJECTION TREATMENT OF NERVE,383.39,289.18
64632,Pain management,N BLOCK INJ COMMON DIGIT,137.69,103.02
64633,Pain management,DESTROY CERV/THOR FACET JNT,638.16,290.53
64634,Major surgery,DESTROY C/TH FACET JNT ADDL,439.74,120.84
64635,Pain management,DESTROY LUMB/SAC FACET JNT,643.67,290.68
64636,Major surgery,DESTROY L/S FACET JNT ADDL,412.29,106.24
64640,Pain management,INJECTION TREATMENT OF NERVE,368.58,181.58
64642,Pain management,CHEMODENERV 1 EXTREMITY 1-4,227.12,158.76
64643,Major surgery,CHEMODENERV 1 EXTREM 1-4 EA,166.04,123.40
64644,Pain management,CHEMODENERV 1 EXTREM 5/> MUS,263.78,172.47
64645,Major surgery,CHEMODENERV 1 EXTREM 5/> EA,213.08,143.58
64646,Pain management,CHEMODENERV TRUNK MUSC 1-5,238.89,172.00
64647,Pain management,CHEMODENERV TRUNK MUSC 6/>,268.22,195.47
64650,Pain management,CHEMODENERV ECCRINE GLANDS,129.49,60.64
64653,Pain management,CHEMODENERV ECCRINE GLANDS,150.99,76.28
64680,Pain management,INJECTION TREATMENT OF NERVE,497.87,243.49
64681,Pain management,INJECTION TREATMENT OF NERVE,670.45,334.05
64702,Major surgery,REVISE FINGER/TOE NERVE,934.38,934.38
64704,Major surgery,REVISE HAND/FOOT NERVE,593.25,593.25
64708,Major surgery,REVISE ARM/LEG NERVE,920.46,920.46
64712,Major surgery,REVISION OF SCIATIC NERVE,1071.12,1071.12
64713,Major surgery,REVISION OF ARM NERVE(S),1435.16,1435.16
64714,Major surgery,REVISE LOW BACK NERVE(S),1376.91,1376.91
64716,Major surgery,REVISION OF CRANIAL NERVE,920.77,920.77
64718,Major surgery,REVISE ULNAR NERVE AT ELBOW,1096.25,1096.25
64719,Major surgery,REVISE ULNAR NERVE AT WRIST,741.74,741.74
64721,Major surgery,CARPAL TUNNEL SURGERY,808.26,794.82
64722,Major surgery,RELIEVE PRESSURE ON NERVE(S),670.74,670.74
64726,Major surgery,RELEASE FOOT/TOE NERVE,495.20,495.20
64727,Major surgery,INTERNAL NERVE REVISION,321.01,321.01
64732,Major surgery,INCISION OF BROW NERVE,814.30,814.30
64734,Major surgery,INCISION OF CHEEK NERVE,918.80,918.80
64736,Major surgery,INCISION OF CHIN NERVE,611.95,611.95
64738,Major surgery,INCISION OF JAW NERVE,814.09,814.09
64740,Major surgery,INCISION OF TONGUE NERVE,831.11,831.11
64742,Major surgery,INCISION OF FACIAL NERVE,892.94,892.94
64744,Major surgery,INCISE NERVE BACK OF HEAD,903.44,903.44
64746,Major surgery,INCISE DIAPHRAGM NERVE,765.34,765.34
64755,Major surgery,INCISION OF STOMACH NERVES,1634.45,1634.45
64760,Major surgery,INCISION OF VAGUS NERVE,931.18,931.18
64763,Major surgery,INCISE HIP/THIGH NERVE,921.86,921.86
64766,Major surgery,INCISE HIP/THIGH NERVE,1135.47,1135.47
64771,Major surgery,SEVER CRANIAL NERVE,1095.65,1095.65
64772,Major surgery,INCISION OF SPINAL NERVE,1006.08,1006.08
64774,Major surgery,REMOVE SKIN NERVE LESION,775.61,775.61
64776,Major surgery,REMOVE DIGIT NERVE LESION,730.74,730.74
64778,Major surgery,DIGIT NERVE SURGERY ADD-ON,318.38,318.38
64782,Major surgery,REMOVE LIMB NERVE LESION,835.19,835.19
64783,Major surgery,LIMB NERVE SURGERY ADD-ON,380.37,380.37
64784,Major surgery,REMOVE NERVE LESION,1310.50,1310.50
64786,Major surgery,REMOVE SCIATIC NERVE LESION,1784.46,1784.46
64787,Major surgery,IMPLANT NERVE END,418.61,418.61
64788,Major surgery,REMOVE SKIN NERVE LESION,737.28,737.28
64790,Major surgery,REMOVAL OF NERVE LESION,1529.23,1529.23
64792,Major surgery,REMOVAL OF NERVE LESION,1921.96,1921.96
64795,Pain management,BIOPSY OF NERVE,291.74,291.74
64802,Major surgery,SYMPATHECTOMY CERVICAL,1506.06,1506.06
64804,Major surgery,SYMPATHECTOMY CERVICOTHORAC,2109.59,2109.59
64809,Major surgery,SYMPATHECTOMY THORACOLUMBAR,1928.06,1928.06
64818,Major surgery,SYMPATHECTOMY LUMBAR,1400.33,1400.33
64820,Major surgery,SYMPATHECTOMY DIGITAL ARTERY,1383.45,1383.45
64821,Major surgery,SYMPATHECTOMY RADIAL ARTERY,1264.38,1264.38
64822,Major surgery,SYMPATHECTOMY ULNAR ARTERY,1264.38,1264.38
64823,Major surgery,SYMPATHECTOMY SUPFC PALMAR,1429.99,1429.99
64831,Major surgery,REPAIR OF DIGIT NERVE,1258.12,1258.12
64832,Major surgery,REPAIR NERVE ADD-ON,587.50,587.50
64834,Major surgery,REPAIR OF HAND OR FOOT NERVE,1350.12,1350.12
64835,Major surgery,REPAIR OF HAND OR FOOT NERVE,1469.19,1469.19
64836,Major surgery,REPAIR OF HAND OR FOOT NERVE,1469.19,1469.19
64837,Major surgery,REPAIR NERVE ADD-ON,641.24,641.24
64840,Major surgery,REPAIR OF LEG NERVE,1729.55,1729.55
64856,Major surgery,REPAIR/TRANSPOSE NERVE,1805.72,1805.72
64857,Major surgery,REPAIR ARM/LEG NERVE,1877.77,1877.77
64858,Major surgery,REPAIR SCIATIC NERVE,2102.41,2102.41
64859,Major surgery,NERVE SURGERY,435.57,435.57
64861,Major surgery,REPAIR OF ARM NERVES,2685.91,2685.91
64862,Major surgery,REPAIR OF LOW BACK NERVES,2454.17,2454.17
64864,Major surgery,REPAIR OF FACIAL NERVE,1543.91,1543.91
64865,Major surgery,REPAIR OF FACIAL NERVE,1935.34,1935.34
64866,Major surgery,FUSION OF FACIAL/OTHER NERVE,2214.07,2214.07
64868,Major surgery,FUSION OF FACIAL/OTHER NERVE,1776.04,1776.04
64872,Major surgery,SUBSEQUENT REPAIR OF NERVE,204.20,204.20
64874,Major surgery,REPAIR & REVISE NERVE ADD-ON,305.25,305.25
64876,Major surgery,REPAIR NERVE/SHORTEN BONE,345.48,345.48
64885,Major surgery,NERVE GRAFT HEAD/NECK <4 CM,1929.10,1929.10
64886,Major surgery,NERVE GRAFT HEAD/NECK >4 CM,2308.80,2308.80
64890,Major surgery,NRV GRF 1STRND HND/FOOT <4CM,1931.85,1931.85
64891,Major surgery,NRV GRF 1STRND HND/FOOT >4CM,2053.55,2053.55
64892,Major surgery,NRV GRF 1STRND ARM/LEG <4CM,1879.92,1879.92
64893,Major surgery,NRV GRF 1STRND ARM/LEG >4 CM,2004.48,2004.48
64895,Major surgery,NRV GRF MLTST HND/FOOT <4 CM,2365.94,2365.94
64896,Major surgery,NRV GRF MLTST HND/FOOT >4 CM,2551.65,2551.65
64897,Major surgery,NRV GRF MLTST ARM/LEG <4 CM,2262.72,2262.72
64898,Major surgery,NRV GRF MLTST ARM/LEG >4 CM,2450.45,2450.45
64901,Major surgery,NERVE GRAFT ADD-ON,1046.86,1046.86
64902,Major surgery,NERVE GRAFT ADD-ON,1211.65,1211.65
64905,Major surgery,NERVE PEDICLE TRANSFER,1779.47,1779.47
64907,Major surgery,NERVE PEDICLE TRANSFER,2321.01,2321.01
64910,Major surgery,NERVE REPAIR W/ALLOGRAFT,1371.03,1371.03
64911,Major surgery,NEURORRAPHY W/VEIN AUTOGRAFT,1832.42,1832.42
64912,Major surgery,NRV RPR W/NRV ALGRFT 1ST,1600.33,1600.33
64913,Other professional services,NRV RPR W/NRV ALGRFT EA ADDL,233.66,233.66
64999,Major surgery,UNLISTED PX NERVOUS SYSTEM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
65091,Major surgery,REVISE EYE,1303.81,1303.81
65093,Major surgery,REVISE EYE WITH IMPLANT,1291.68,1291.68
65101,Major surgery,REMOVAL OF EYE,1493.66,1493.66
65103,Major surgery,REMOVE EYE/INSERT IMPLANT,1544.67,1544.67
65105,Major surgery,REMOVE EYE/ATTACH IMPLANT,1683.38,1683.38
65110,Major surgery,REMOVAL OF EYE,2334.44,2334.44
65112,Major surgery,REMOVE EYE/REVISE SOCKET,2678.46,2678.46
65114,Major surgery,REMOVE EYE/REVISE SOCKET,2796.94,2796.94
65125,Major surgery,REVISE OCULAR IMPLANT,793.81,525.14
65130,Major surgery,INSERT OCULAR IMPLANT,1499.90,1499.90
65135,Major surgery,INSERT OCULAR IMPLANT,1518.09,1518.09
65140,Major surgery,ATTACH OCULAR IMPLANT,1633.69,1633.69
65150,Major surgery,REVISE OCULAR IMPLANT,1227.92,1227.92
65155,Major surgery,REINSERT OCULAR IMPLANT,1701.53,1701.53
65175,Major surgery,REMOVAL OF OCULAR IMPLANT,1369.39,1369.39
65205,Other professional services,REMOVE FOREIGN BODY FROM EYE,39.57,40.02
65210,Other professional services,REMOVE FOREIGN BODY FROM EYE,53.03,49.89
65220,Other professional services,REMOVE FOREIGN BODY FROM EYE,82.86,56.36
65222,Other professional services,REMOVE FOREIGN BODY FROM EYE,93.27,69.00
65235,Major surgery,REMOVE FOREIGN BODY FROM EYE,1291.82,1291.82
65260,Major surgery,REMOVE FOREIGN BODY FROM EYE,1737.98,1737.98
65265,Major surgery,REMOVE FOREIGN BODY FROM EYE,1953.76,1953.76
65270,Other professional services,REPAIR OF EYE WOUND,377.90,192.33
65272,Major surgery,REPAIR OF EYE WOUND,922.97,626.85
65273,Major surgery,REPAIR OF EYE WOUND,674.00,674.00
65275,Major surgery,REPAIR OF EYE WOUND,1040.34,818.98
65280,Major surgery,REPAIR OF EYE WOUND,1187.84,1187.84
65285,Major surgery,REPAIR OF EYE WOUND,1960.55,1960.55
65286,Major surgery,REPAIR OF EYE WOUND,1220.51,879.39
65290,Major surgery,REPAIR OF EYE SOCKET WOUND,869.00,869.00
65400,Major surgery,REMOVAL OF EYE LESION,1229.49,1074.72
65410,Other professional services,BIOPSY OF CORNEA,195.03,141.12
65420,Major surgery,REMOVAL OF EYE LESION,942.86,677.68
65426,Major surgery,REMOVAL OF EYE LESION,1174.89,854.24
65430,Other professional services,CORNEAL SMEAR,158.31,139.44
65435,Other professional services,CURETTE/TREAT CORNEA,112.62,95.55
65436,Major surgery,CURETTE/TREAT CORNEA,693.03,660.31
65450,Major surgery,TREATMENT OF CORNEAL LESION,589.25,578.14
65600,Major surgery,REVISION OF CORNEA,772.32,610.53
65710,Major surgery,CORNEAL TRANSPLANT,2022.62,2022.62
65730,Major surgery,CORNEAL TRANSPLANT,2219.43,2219.43
65750,Major surgery,CORNEAL TRANSPLANT,2233.18,2233.18
65755,Major surgery,CORNEAL TRANSPLANT,2225.65,2225.65
65756,Major surgery,CORNEAL TRNSPL ENDOTHELIAL,2104.40,2104.40
65757,Major surgery,PREP CORNEAL ENDO ALLOGRAFT,179.38,179.38
65760,Other professional services,KERATOMILEUSIS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
65765,Other professional services,KERATOPHAKIA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
65767,Other professional services,EPIKERATOPLASTY,UCR or Pay Per Agreement,UCR or Pay Per Agreement
65770,Major surgery,KERATOPROSTHESIS,2499.90,2499.90
65771,Other professional services,RADIAL KERATOTOMY,UCR or Pay Per Agreement,UCR or Pay Per Agreement
65772,Major surgery,CORRECTION OF ASTIGMATISM,809.93,722.90
65775,Major surgery,CORRECTION OF ASTIGMATISM,1020.40,1020.40
65778,Other professional services,COVER EYE W/MEMBRANE,1693.65,60.92
65779,Other professional services,COVER EYE W/MEMBRANE SUTURE,1486.16,144.57
65780,Major surgery,OCULAR RECONST TRANSPLANT,1052.90,1052.90
65781,Major surgery,OCULAR RECONST TRANSPLANT,2359.07,2359.07
65782,Major surgery,OCULAR RECONST TRANSPLANT,2037.40,2037.40
65785,Major surgery,IMPLTJ NTRSTRML CRNL RNG SEG,3568.71,790.82
65800,Other professional services,DRAINAGE OF EYE,164.25,122.91
65810,Major surgery,DRAINAGE OF EYE,825.30,825.30
65815,Major surgery,DRAINAGE OF EYE,1126.18,849.34
65820,Major surgery,GONIOTOMY,1449.55,1449.55
65850,Major surgery,TRABECULOTOMY AB EXTERNO,1496.55,1496.55
65855,Other professional services,TRABECULOPLASTY LASER SURG,334.50,281.48
65860,Major surgery,SEVERING ADS ANT SGM LASER,545.42,443.78
65865,Major surgery,INCISE INNER EYE ADHESIONS,847.41,847.41
65870,Major surgery,INCISE INNER EYE ADHESIONS,1056.28,1056.28
65875,Major surgery,INCISE INNER EYE ADHESIONS,1125.07,1125.07
65880,Major surgery,INCISE INNER EYE ADHESIONS,1182.05,1182.05
65900,Major surgery,REMOVE EYE LESION,1753.03,1753.03
65920,Major surgery,REMOVE IMPLANT OF EYE,1405.64,1405.64
65930,Major surgery,REMOVE BLOOD CLOT FROM EYE,1138.96,1138.96
66020,Other professional services,INJECTION TREATMENT OF EYE,266.18,180.36
66030,Other professional services,INJECTION TREATMENT OF EYE,238.83,152.57
66130,Major surgery,REMOVE EYE LESION,1241.64,1005.09
66150,Major surgery,GLAUCOMA SURGERY,1555.44,1555.44
66155,Major surgery,GLAUCOMA SURGERY,1554.21,1554.21
66160,Major surgery,GLAUCOMA SURGERY,1748.55,1748.55
66170,Major surgery,GLAUCOMA SURGERY,1942.63,1942.63
66172,Major surgery,INCISION OF EYE,2120.16,2120.16
66174,Major surgery,TRLUML DIL AQ O/F CAN W/O ST,1108.58,1108.58
66175,Major surgery,TRLUML DIL AQ O/F CAN W/ST,1286.36,1286.36
66179,Major surgery,AQUEOUS SHUNT EYE W/O GRAFT,1919.21,1919.21
66180,Major surgery,AQUEOUS SHUNT EYE W/GRAFT,2022.19,2022.19
66183,Major surgery,INSERT ANT DRAINAGE DEVICE,1826.10,1826.10
66184,Major surgery,REVISION OF AQUEOUS SHUNT,1405.72,1405.72
66185,Major surgery,REVISE AQUEOUS SHUNT EYE,1510.10,1510.10
66225,Major surgery,REPAIR/GRAFT EYE LESION,1661.73,1661.73
66250,Major surgery,FOLLOW-UP SURGERY OF EYE,1314.75,988.83
66500,Major surgery,INCISION OF IRIS,692.39,692.39
66505,Major surgery,INCISION OF IRIS,753.71,753.71
66600,Major surgery,REMOVE IRIS AND LESION,1592.97,1592.97
66605,Major surgery,REMOVAL OF IRIS,1927.52,1927.52
66625,Major surgery,REMOVAL OF IRIS,762.53,762.53
66630,Major surgery,REMOVAL OF IRIS,1008.60,1008.60
66635,Major surgery,REMOVAL OF IRIS,1017.78,1017.78
66680,Major surgery,REPAIR IRIS & CILIARY BODY,1060.64,1060.64
66682,Major surgery,REPAIR IRIS & CILIARY BODY,1179.83,1179.83
66683,Major surgery,IMPLANTATION IRIS PROSTHESIS,1388.46,1388.46
66700,Major surgery,DESTRUCTION CILIARY BODY,802.99,697.28
66710,Major surgery,CILIARY TRANSSLERAL THERAPY,783.72,697.28
66711,Major surgery,ECP CILIARY BODY DESTRUCTION,899.20,899.20
66720,Major surgery,DESTRUCTION CILIARY BODY,829.96,731.84
66740,Major surgery,DESTRUCTION CILIARY BODY,780.80,697.28
66761,Other professional services,REVISION OF IRIS,403.68,321.92
66762,Major surgery,REVISION OF IRIS,846.26,756.89
66770,Major surgery,REMOVAL OF INNER EYE LESION,940.31,857.96
66820,Major surgery,INCISION SECONDARY CATARACT,817.48,817.48
66821,Major surgery,AFTER CATARACT LASER SURGERY,589.50,551.54
66825,Major surgery,REPOSITION INTRAOCULAR LENS,1463.71,1463.71
66830,Major surgery,REMOVAL OF LENS LESION,1261.08,1261.08
66840,Major surgery,REMOVAL OF LENS MATERIAL,1230.86,1230.86
66850,Major surgery,REMOVAL OF LENS MATERIAL,1400.74,1400.74
66852,Major surgery,REMOVAL OF LENS MATERIAL,1489.62,1489.62
66920,Major surgery,EXTRACTION OF LENS,1331.36,1331.36
66930,Major surgery,EXTRACTION OF LENS,1521.35,1521.35
66940,Major surgery,EXTRACTION OF LENS,1393.06,1393.06
66982,Major surgery,XCAPSL CTRC RMVL CPLX WO ECP,1325.06,1325.06
66983,Major surgery,CATARACT SURG W/IOL 1 STAGE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
66984,Major surgery,XCAPSL CTRC RMVL W/O ECP,967.38,967.38
66985,Major surgery,INSERT LENS PROSTHESIS,1366.44,1366.44
66986,Major surgery,EXCHANGE LENS PROSTHESIS,1602.41,1602.41
66987,Major surgery,XCAPSL CTRC RMVL CPLX W/ECP,1616.88,1616.88
66988,Major surgery,XCAPSL CTRC RMVL W/ECP,1313.73,1313.73
66989,Major surgery,XCPSL CTRC RMVL CPLX INSJ 1+,1522.11,1522.11
66990,Major surgery,OPHTHALMIC ENDOSCOPE ADD-ON,157.93,157.93
