ARIZONA PHYSICIANS' FEE SCHEDULE,,,,,
Radiology Codes 2024,,,,,
Radiology Conversion Factor $70.00,,,,,
,,,,,
,,,,,
Code,Category,FY24 NF RVU,FY24 FAC RVU,FY24 NF RBRVS Rate,FY24 FAC RBRVS Rate
46744 00,Surgery,105.87,105.87,7622.64,7622.64
46746 00,Surgery,116.56,116.56,8392.32,8392.32
46748 00,Surgery,126.27,126.27,9091.44,9091.44
46750 00,Surgery,22.49,22.49,1619.28,1619.28
46751 00,Surgery,20.22,20.22,1455.84,1455.84
46753 00,Surgery,18.71,18.71,1347.12,1347.12
46754 00,Surgery,10.53,7.33,758.16,527.76
46760 00,Surgery,33.05,33.05,2379.6,2379.6
46761 00,Surgery,27.37,27.37,1970.64,1970.64
46900 00,Surgery,7.25,4.15,522,298.8
46910 00,Surgery,7.97,4.09,573.84,294.48
46916 00,Surgery,7.86,4.28,565.92,308.16
46917 00,Surgery,13.32,3.9,959.04,280.8
46922 00,Surgery,9.45,4.17,680.4,300.24
46924 00,Surgery,16.7,5.46,1202.4,393.12
46930 00,Surgery,6.52,4.58,469.44,329.76
46940 00,Surgery,8.04,4.36,578.88,313.92
46942 00,Surgery,7.66,3.92,551.52,282.24
46945 00,Surgery,10.28,10.28,740.16,740.16
46946 00,Surgery,11.48,11.48,826.56,826.56
46947 00,Surgery,11.78,11.78,848.16,848.16
46948 00,Surgery,13.4,13.4,964.8,964.8
46999 00,Surgery,0,0,BR,BR
47000 00,Surgery,8.93,2.58,642.96,185.76
47001 00,Surgery,3.07,3.07,221.04,221.04
47010 00,Surgery,36.42,36.42,2622.24,2622.24
47015 00,Surgery,34.99,34.99,2519.28,2519.28
47100 00,Surgery,25.59,25.59,1842.48,1842.48
47120 00,Surgery,69.91,69.91,5033.52,5033.52
47122 00,Surgery,102.01,102.01,7344.72,7344.72
47125 00,Surgery,91.9,91.9,6616.8,6616.8
47130 00,Surgery,98.6,98.6,7099.2,7099.2
47133 00,Surgery,-,-,11963.52,10049.76
47135 00,Surgery,161.52,161.52,11629.44,11629.44
47140 00,Surgery,107.03,107.03,7706.16,7706.16
47141 00,Surgery,127.84,127.84,9204.48,9204.48
47142 00,Surgery,140.71,140.71,10131.12,10131.12
47143 00,Surgery,-,-,1620.72,1361.52
47144 00,Surgery,0,0,BR,BR
47145 00,Surgery,0,0,BR,BR
47146 00,Surgery,9.71,9.71,699.12,699.12
47147 00,Surgery,11.34,11.34,816.48,816.48
47300 00,Surgery,34.15,34.15,2458.8,2458.8
47350 00,Surgery,40.86,40.86,2941.92,2941.92
47360 00,Surgery,56.1,56.1,4039.2,4039.2
47361 00,Surgery,89.71,89.71,6459.12,6459.12
47362 00,Surgery,43.49,43.49,3131.28,3131.28
47370 00,Surgery,37.66,37.66,2711.52,2711.52
47371 00,Surgery,37.82,37.82,2723.04,2723.04
47379 00,Surgery,0,0,BR,BR
47380 00,Surgery,43.38,43.38,3123.36,3123.36
47381 00,Surgery,44.43,44.43,3198.96,3198.96
47382 00,Surgery,107.26,21.51,7722.72,1548.72
47383 00,Surgery,172.75,13.11,12438,943.92
47399 00,Surgery,0,0,BR,BR
47400 00,Surgery,64.32,64.32,4631.04,4631.04
47420 00,Surgery,40.17,40.17,2892.24,2892.24
47425 00,Surgery,41.02,41.02,2953.44,2953.44
47460 00,Surgery,38.11,38.11,2743.92,2743.92
47480 00,Surgery,26.36,26.36,1897.92,1897.92
47490 00,Surgery,9.79,9.79,704.88,704.88
47531 00,Surgery,12.48,2.06,898.56,148.32
47532 00,Surgery,24.76,6.14,1782.72,442.08
47533 00,Surgery,34.25,7.64,2466,550.08
47534 00,Surgery,37.62,10.69,2708.64,769.68
47535 00,Surgery,26.08,5.68,1877.76,408.96
47536 00,Surgery,18.68,3.83,1344.96,275.76
47537 00,Surgery,14.46,2.81,1041.12,202.32
47538 00,Surgery,109.95,6.8,7916.4,489.6
47539 00,Surgery,123.64,12.35,8902.08,889.2
47540 00,Surgery,123.38,12.72,8883.36,915.84
47541 00,Surgery,34.28,9.74,2468.16,701.28
47542 00,Surgery,14.65,3.93,1054.8,282.96
47543 00,Surgery,11.55,4.15,831.6,298.8
47544 00,Surgery,24.56,4.53,1768.32,326.16
47550 00,Surgery,4.85,4.85,349.2,349.2
47552 00,Surgery,8.14,8.14,586.08,586.08
47553 00,Surgery,8.15,8.15,586.8,586.8
47554 00,Surgery,13.14,13.14,946.08,946.08
47555 00,Surgery,9.71,9.71,699.12,699.12
47556 00,Surgery,11,11,792,792
47562 00,Surgery,19.92,19.92,1434.24,1434.24
47563 00,Surgery,21.65,21.65,1558.8,1558.8
47564 00,Surgery,33.65,33.65,2422.8,2422.8
47570 00,Surgery,23.37,23.37,1682.64,1682.64
47579 00,Surgery,0,0,BR,BR
47600 00,Surgery,32.18,32.18,2316.96,2316.96
47605 00,Surgery,33.87,33.87,2438.64,2438.64
47610 00,Surgery,37.47,37.47,2697.84,2697.84
47612 00,Surgery,38.2,38.2,2750.4,2750.4
47620 00,Surgery,41.23,41.23,2968.56,2968.56
47700 00,Surgery,31.88,31.88,2295.36,2295.36
47701 00,Surgery,52.04,52.04,3746.88,3746.88
47711 00,Surgery,46.73,46.73,3364.56,3364.56
47712 00,Surgery,59.73,59.73,4300.56,4300.56
47715 00,Surgery,39.96,39.96,2877.12,2877.12
47720 00,Surgery,34.73,34.73,2500.56,2500.56
47721 00,Surgery,40.68,40.68,2928.96,2928.96
47740 00,Surgery,39.45,39.45,2840.4,2840.4
47741 00,Surgery,44.28,44.28,3188.16,3188.16
47760 00,Surgery,67.41,67.41,4853.52,4853.52
47765 00,Surgery,90.54,90.54,6518.88,6518.88
47780 00,Surgery,74.07,74.07,5333.04,5333.04
47785 00,Surgery,96.7,96.7,6962.4,6962.4
47800 00,Surgery,46.59,46.59,3354.48,3354.48
47801 00,Surgery,33.54,33.54,2414.88,2414.88
47802 00,Surgery,45.74,45.74,3293.28,3293.28
47900 00,Surgery,41.4,41.4,2980.8,2980.8
47999 00,Surgery,0,0,BR,BR
48000 00,Surgery,56.35,56.35,4057.2,4057.2
48001 00,Surgery,68.94,68.94,4963.68,4963.68
48020 00,Surgery,35.47,35.47,2553.84,2553.84
48100 00,Surgery,26.83,26.83,1931.76,1931.76
48102 00,Surgery,15.19,6.91,1093.68,497.52
48105 00,Surgery,84.12,84.12,6056.64,6056.64
48120 00,Surgery,33.45,33.45,2408.4,2408.4
48140 00,Surgery,46.98,46.98,3382.56,3382.56
48145 00,Surgery,48.96,48.96,3525.12,3525.12
48146 00,Surgery,56.47,56.47,4065.84,4065.84
48148 00,Surgery,37.57,37.57,2705.04,2705.04
48150 00,Surgery,93.2,93.2,6710.4,6710.4
48152 00,Surgery,86.27,86.27,6211.44,6211.44
48153 00,Surgery,92.81,92.81,6682.32,6682.32
48154 00,Surgery,86.65,86.65,6238.8,6238.8
48155 00,Surgery,54.53,54.53,3926.16,3926.16
48160 00,Surgery,-,-,7514.64,6312.24
48400 00,Surgery,3.16,3.16,227.52,227.52
48500 00,Surgery,34.56,34.56,2488.32,2488.32
48510 00,Surgery,32.98,32.98,2374.56,2374.56
48520 00,Surgery,33.03,33.03,2378.16,2378.16
48540 00,Surgery,39.2,39.2,2822.4,2822.4
48545 00,Surgery,40.43,40.43,2910.96,2910.96
48547 00,Surgery,53.66,53.66,3863.52,3863.52
48548 00,Surgery,50.1,50.1,3607.2,3607.2
48550 00,Surgery,0,0,BR,BR
48551 00,Surgery,-,-,1364.4,1146.24
48552 00,Surgery,6.99,6.99,503.28,503.28
48554 00,Surgery,79.11,79.11,5695.92,5695.92
48556 00,Surgery,38.86,38.86,2797.92,2797.92
48999 00,Surgery,0,0,BR,BR
49000 00,Surgery,23.1,23.1,1663.2,1663.2
49002 00,Surgery,31.24,31.24,2249.28,2249.28
49010 00,Surgery,27.61,27.61,1987.92,1987.92
49013 00,Surgery,13.56,13.56,976.32,976.32
49014 00,Surgery,11.29,11.29,812.88,812.88
49020 00,Surgery,47.79,47.79,3440.88,3440.88
49040 00,Surgery,30.11,30.11,2167.92,2167.92
49060 00,Surgery,32.81,32.81,2362.32,2362.32
49062 00,Surgery,23.18,23.18,1668.96,1668.96
49082 00,Surgery,6.35,2.18,457.2,156.96
49083 00,Surgery,8.71,3.12,627.12,224.64
49084 00,Surgery,3.17,3.17,228.24,228.24
49180 00,Surgery,5.19,2.42,373.68,174.24
49185 00,Surgery,37.11,3.49,2671.92,251.28
49203 00,Surgery,35.85,35.85,2581.2,2581.2
49204 00,Surgery,45.67,45.67,3288.24,3288.24
49205 00,Surgery,52.39,52.39,3772.08,3772.08
49215 00,Surgery,66.43,66.43,4782.96,4782.96
49250 00,Surgery,17.96,17.96,1293.12,1293.12
49255 00,Surgery,23.88,23.88,1719.36,1719.36
49320 00,Surgery,9.94,9.94,715.68,715.68
49321 00,Surgery,10.39,10.39,748.08,748.08
49322 00,Surgery,11.3,11.3,813.6,813.6
49323 00,Surgery,19.25,19.25,1386,1386
49324 00,Surgery,11.63,11.63,837.36,837.36
49325 00,Surgery,12.4,12.4,892.8,892.8
49326 00,Surgery,5.59,5.59,402.48,402.48
49327 00,Surgery,3.86,3.86,277.92,277.92
49329 00,Surgery,0,0,BR,BR
49400 00,Surgery,4.45,2.64,320.4,190.08
49402 00,Surgery,25.68,25.68,1848.96,1848.96
49405 00,Surgery,26.1,5.67,1879.2,408.24
49406 00,Surgery,26.11,5.67,1879.92,408.24
49407 00,Surgery,22.28,6.01,1604.16,432.72
49411 00,Surgery,14.33,5.44,1031.76,391.68
49412 00,Surgery,2.44,2.44,175.68,175.68
49418 00,Surgery,28.92,5.85,2082.24,421.2
49419 00,Surgery,12.48,12.48,898.56,898.56
49421 00,Surgery,6.73,6.73,484.56,484.56
49422 00,Surgery,6.58,6.58,473.76,473.76
49423 00,Surgery,17.24,2.06,1241.28,148.32
49424 00,Surgery,5.35,1.09,385.2,78.48
49425 00,Surgery,23.54,23.54,1694.88,1694.88
49426 00,Surgery,20.23,20.23,1456.56,1456.56
49427 00,Surgery,1.14,1.14,82.08,82.08
49428 00,Surgery,12.97,12.97,933.84,933.84
49429 00,Surgery,13.75,13.75,990,990
49435 00,Surgery,3.49,3.49,251.28,251.28
49436 00,Surgery,16.08,5.61,1157.76,403.92
49440 00,Surgery,24.48,5.93,1762.56,426.96
49441 00,Surgery,28.33,7.07,2039.76,509.04
49442 00,Surgery,23.38,6.06,1683.36,436.32
49446 00,Surgery,23.51,4.26,1692.72,306.72
49450 00,Surgery,17.52,1.91,1261.44,137.52
49451 00,Surgery,18.73,2.58,1348.56,185.76
49452 00,Surgery,22.74,3.97,1637.28,285.84
49460 00,Surgery,21.57,1.49,1553.04,107.28
49465 00,Surgery,4.07,0.89,293.04,64.08
49491 00,Surgery,24.1,24.1,1735.2,1735.2
49492 00,Surgery,28.93,28.93,2082.96,2082.96
49495 00,Surgery,12.38,12.38,891.36,891.36
49496 00,Surgery,18.63,18.63,1341.36,1341.36
49500 00,Surgery,12.64,12.64,910.08,910.08
49501 00,Surgery,18.35,18.35,1321.2,1321.2
49505 00,Surgery,15.82,15.82,1139.04,1139.04
49507 00,Surgery,17.77,17.77,1279.44,1279.44
49520 00,Surgery,19.14,19.14,1378.08,1378.08
49521 00,Surgery,21.62,21.62,1556.64,1556.64
49525 00,Surgery,17.34,17.34,1248.48,1248.48
49540 00,Surgery,20.26,20.26,1458.72,1458.72
49550 00,Surgery,17.47,17.47,1257.84,1257.84
49553 00,Surgery,19.1,19.1,1375.2,1375.2
49555 00,Surgery,18.28,18.28,1316.16,1316.16
49557 00,Surgery,21.8,21.8,1569.6,1569.6
49591 00,Surgery,10.25,10.25,738,738
49592 00,Surgery,14.24,14.24,1025.28,1025.28
49593 00,Surgery,17.15,17.15,1234.8,1234.8
49594 00,Surgery,22.32,22.32,1607.04,1607.04
49595 00,Surgery,23.07,23.07,1661.04,1661.04
49596 00,Surgery,30.6,30.6,2203.2,2203.2
49600 00,Surgery,22.18,22.18,1596.96,1596.96
49605 00,Surgery,146.66,146.66,10559.52,10559.52
49606 00,Surgery,34.1,34.1,2455.2,2455.2
49610 00,Surgery,20.96,20.96,1509.12,1509.12
49611 00,Surgery,18.49,18.49,1331.28,1331.28
49613 00,Surgery,12.63,12.63,909.36,909.36
49614 00,Surgery,17.1,17.1,1231.2,1231.2
49615 00,Surgery,19.12,19.12,1376.64,1376.64
49616 00,Surgery,25.69,25.69,1849.68,1849.68
49617 00,Surgery,26.47,26.47,1905.84,1905.84
49618 00,Surgery,37.08,37.08,2669.76,2669.76
49621 00,Surgery,22.19,22.19,1597.68,1597.68
49622 00,Surgery,27.36,27.36,1969.92,1969.92
49623 00,Surgery,5.88,5.88,423.36,423.36
49650 00,Surgery,13.12,13.12,944.64,944.64
49651 00,Surgery,17.12,17.12,1232.64,1232.64
49659 00,Surgery,0,0,BR,BR
49900 00,Surgery,24.85,24.85,1789.2,1789.2
49904 00,Surgery,41.7,41.7,3002.4,3002.4
49905 00,Surgery,10.47,10.47,753.84,753.84
49906 00,Surgery,-,-,11741.76,9863.28
49999 00,Surgery,0,0,BR,BR
50010 00,Surgery,21.11,21.11,1519.92,1519.92
50020 00,Surgery,30.29,30.29,2180.88,2180.88
50040 00,Surgery,27.59,27.59,1986.48,1986.48
50045 00,Surgery,27.8,27.8,2001.6,2001.6
50060 00,Surgery,33.88,33.88,2439.36,2439.36
50065 00,Surgery,35.89,35.89,2584.08,2584.08
50070 00,Surgery,35.21,35.21,2535.12,2535.12
50075 00,Surgery,43.25,43.25,3114,3114
50080 00,Surgery,20.79,20.79,1496.88,1496.88
50081 00,Surgery,33.44,33.44,2407.68,2407.68
50100 00,Surgery,32.54,32.54,2342.88,2342.88
50120 00,Surgery,28.29,28.29,2036.88,2036.88
50125 00,Surgery,29.27,29.27,2107.44,2107.44
50130 00,Surgery,30.73,30.73,2212.56,2212.56
50135 00,Surgery,33.33,33.33,2399.76,2399.76
50200 00,Surgery,15.2,3.72,1094.4,267.84
50205 00,Surgery,22.71,22.71,1635.12,1635.12
50220 00,Surgery,31.41,31.41,2261.52,2261.52
50225 00,Surgery,36.08,36.08,2597.76,2597.76
50230 00,Surgery,38.02,38.02,2737.44,2737.44
50234 00,Surgery,38.65,38.65,2782.8,2782.8
50236 00,Surgery,43.47,43.47,3129.84,3129.84
50240 00,Surgery,39.53,39.53,2846.16,2846.16
50250 00,Surgery,36.18,36.18,2604.96,2604.96
50280 00,Surgery,28.19,28.19,2029.68,2029.68
50290 00,Surgery,26.82,26.82,1931.04,1931.04
50300 00,Surgery,0,0,BR,BR
50320 00,Surgery,45.95,45.95,3308.4,3308.4
50323 00,Surgery,-,-,1042.56,897.12
50325 00,Surgery,-,-,809.28,696.24
50327 00,Surgery,6.42,6.42,462.24,462.24
50328 00,Surgery,5.63,5.63,405.36,405.36
50329 00,Surgery,5.33,5.33,383.76,383.76
50340 00,Surgery,29.01,29.01,2088.72,2088.72
50360 00,Surgery,73.11,73.11,5263.92,5263.92
50365 00,Surgery,87.3,87.3,6285.6,6285.6
50370 00,Surgery,36.66,36.66,2639.52,2639.52
50380 00,Surgery,61.53,61.53,4430.16,4430.16
50382 00,Surgery,29.46,7.32,2121.12,527.04
50384 00,Surgery,25.26,6.61,1818.72,475.92
50385 00,Surgery,29.92,6.31,2154.24,454.32
50386 00,Surgery,22.34,4.79,1608.48,344.88
50387 00,Surgery,16.25,2.42,1170,174.24
50389 00,Surgery,12.22,1.56,879.84,112.32
50390 00,Surgery,2.76,2.76,198.72,198.72
50391 00,Surgery,3.75,2.9,270,208.8
50396 00,Surgery,3.41,3.41,245.52,245.52
50400 00,Surgery,34.35,34.35,2473.2,2473.2
50405 00,Surgery,41.43,41.43,2982.96,2982.96
50430 00,Surgery,18.73,4.5,1348.56,324
50431 00,Surgery,9.53,1.95,686.16,140.4
50432 00,Surgery,26.73,5.96,1924.56,429.12
50433 00,Surgery,33.28,7.4,2396.16,532.8
50434 00,Surgery,26.72,5.56,1923.84,400.32
50435 00,Surgery,17.6,2.92,1267.2,210.24
50436 00,Surgery,4.38,4.38,315.36,315.36
50437 00,Surgery,7.25,7.25,522,522
50500 00,Surgery,38.69,38.69,2785.68,2785.68
50520 00,Surgery,34.87,34.87,2510.64,2510.64
50525 00,Surgery,44.16,44.16,3179.52,3179.52
50526 00,Surgery,47.28,47.28,3404.16,3404.16
50540 00,Surgery,34.1,34.1,2455.2,2455.2
50541 00,Surgery,27.29,27.29,1964.88,1964.88
50542 00,Surgery,34.52,34.52,2485.44,2485.44
50543 00,Surgery,44.27,44.27,3187.44,3187.44
50544 00,Surgery,36.81,36.81,2650.32,2650.32
50545 00,Surgery,39.61,39.61,2851.92,2851.92
50546 00,Surgery,35.81,35.81,2578.32,2578.32
50547 00,Surgery,48.7,48.7,3506.4,3506.4
50548 00,Surgery,39.82,39.82,2867.04,2867.04
50549 00,Surgery,0,0,BR,BR
50551 00,Surgery,10.8,8.66,777.6,623.52
50553 00,Surgery,11.59,9.26,834.48,666.72
50555 00,Surgery,12.35,10.05,889.2,723.6
50557 00,Surgery,12.56,10.18,904.32,732.96
50561 00,Surgery,14.27,11.63,1027.44,837.36
50562 00,Surgery,17.08,17.08,1229.76,1229.76
50570 00,Surgery,14.47,14.47,1041.84,1041.84
50572 00,Surgery,15.63,15.63,1125.36,1125.36
50574 00,Surgery,16.61,16.61,1195.92,1195.92
50575 00,Surgery,20.97,20.97,1509.84,1509.84
50576 00,Surgery,16.56,16.56,1192.32,1192.32
50580 00,Surgery,17.85,17.85,1285.2,1285.2
50590 00,Surgery,22.26,17.15,1602.72,1234.8
50592 00,Surgery,82.56,10.04,5944.32,722.88
50593 00,Surgery,110.4,13.39,7948.8,964.08
50600 00,Surgery,27.91,27.91,2009.52,2009.52
50605 00,Surgery,30.22,30.22,2175.84,2175.84
50606 00,Surgery,14.27,4.06,1027.44,292.32
50610 00,Surgery,28.11,28.11,2023.92,2023.92
50620 00,Surgery,26.9,26.9,1936.8,1936.8
50630 00,Surgery,26.59,26.59,1914.48,1914.48
50650 00,Surgery,30.95,30.95,2228.4,2228.4
50660 00,Surgery,33.99,33.99,2447.28,2447.28
50684 00,Surgery,3.82,1.52,275.04,109.44
50686 00,Surgery,4.31,2.64,310.32,190.08
50688 00,Surgery,2.31,2.31,166.32,166.32
50690 00,Surgery,3.55,2.07,255.6,149.04
50693 00,Surgery,29.27,5.93,2107.44,426.96
50694 00,Surgery,32.82,7.74,2363.04,557.28
50695 00,Surgery,39.42,9.93,2838.24,714.96
50700 00,Surgery,27.61,27.61,1987.92,1987.92
50705 00,Surgery,53.71,5.17,3867.12,372.24
50706 00,Surgery,24.65,5.25,1774.8,378
50715 00,Surgery,36.16,36.16,2603.52,2603.52
50722 00,Surgery,30.63,30.63,2205.36,2205.36
50725 00,Surgery,32.77,32.77,2359.44,2359.44
50727 00,Surgery,15.4,15.4,1108.8,1108.8
50728 00,Surgery,20.96,20.96,1509.12,1509.12
50740 00,Surgery,36.83,36.83,2651.76,2651.76
50750 00,Surgery,34.28,34.28,2468.16,2468.16
50760 00,Surgery,33.72,33.72,2427.84,2427.84
50770 00,Surgery,34.28,34.28,2468.16,2468.16
50780 00,Surgery,33.18,33.18,2388.96,2388.96
50782 00,Surgery,31.97,31.97,2301.84,2301.84
50783 00,Surgery,33.51,33.51,2412.72,2412.72
50785 00,Surgery,36.06,36.06,2596.32,2596.32
50800 00,Surgery,27.51,27.51,1980.72,1980.72
50810 00,Surgery,42.28,42.28,3044.16,3044.16
50815 00,Surgery,36.44,36.44,2623.68,2623.68
50820 00,Surgery,39.03,39.03,2810.16,2810.16
50825 00,Surgery,48.85,48.85,3517.2,3517.2
50830 00,Surgery,53.4,53.4,3844.8,3844.8
50840 00,Surgery,36.63,36.63,2637.36,2637.36
50845 00,Surgery,37.37,37.37,2690.64,2690.64
50860 00,Surgery,28.18,28.18,2028.96,2028.96
50900 00,Surgery,25.16,25.16,1811.52,1811.52
50920 00,Surgery,26.3,26.3,1893.6,1893.6
50930 00,Surgery,32.74,32.74,2357.28,2357.28
50940 00,Surgery,26.47,26.47,1905.84,1905.84
50945 00,Surgery,28.85,28.85,2077.2,2077.2
50947 00,Surgery,41.1,41.1,2959.2,2959.2
50948 00,Surgery,37.69,37.69,2713.68,2713.68
50949 00,Surgery,0,0,BR,BR
50951 00,Surgery,11.34,9.05,816.48,651.6
50953 00,Surgery,11.98,9.62,862.56,692.64
50955 00,Surgery,12.78,10.38,920.16,747.36
50957 00,Surgery,12.9,10.43,928.8,750.96
50961 00,Surgery,11.65,9.35,838.8,673.2
50970 00,Surgery,10.91,10.91,785.52,785.52
50972 00,Surgery,10.53,10.53,758.16,758.16
50974 00,Surgery,13.92,13.92,1002.24,1002.24
50976 00,Surgery,13.73,13.73,988.56,988.56
50980 00,Surgery,10.48,10.48,754.56,754.56
51020 00,Surgery,14.16,14.16,1019.52,1019.52
51030 00,Surgery,14.26,14.26,1026.72,1026.72
51040 00,Surgery,8.8,8.8,633.6,633.6
51045 00,Surgery,14.98,14.98,1078.56,1078.56
51050 00,Surgery,14.18,14.18,1020.96,1020.96
51060 00,Surgery,17.49,17.49,1259.28,1259.28
51065 00,Surgery,17.41,17.41,1253.52,1253.52
51080 00,Surgery,12.31,12.31,886.32,886.32
51100 00,Surgery,2.22,1.16,159.84,83.52
51101 00,Surgery,4.62,1.51,332.64,108.72
51102 00,Surgery,7.16,4.22,515.52,303.84
51500 00,Surgery,19.09,19.09,1374.48,1374.48
51520 00,Surgery,17.86,17.86,1285.92,1285.92
51525 00,Surgery,25.58,25.58,1841.76,1841.76
51530 00,Surgery,23,23,1656,1656
51535 00,Surgery,23.28,23.28,1676.16,1676.16
51550 00,Surgery,28.75,28.75,2070,2070
51555 00,Surgery,37.51,37.51,2700.72,2700.72
51565 00,Surgery,38.29,38.29,2756.88,2756.88
51570 00,Surgery,43.72,43.72,3147.84,3147.84
51575 00,Surgery,53.82,53.82,3875.04,3875.04
51580 00,Surgery,56.22,56.22,4047.84,4047.84
51585 00,Surgery,62.49,62.49,4499.28,4499.28
51590 00,Surgery,57.18,57.18,4116.96,4116.96
51595 00,Surgery,64.73,64.73,4660.56,4660.56
51596 00,Surgery,69.76,69.76,5022.72,5022.72
51597 00,Surgery,68.16,68.16,4907.52,4907.52
51600 00,Surgery,6.29,1.28,452.88,92.16
51605 00,Surgery,1.15,1.15,82.8,82.8
51610 00,Surgery,3.86,1.91,277.92,137.52
51700 00,Surgery,2.3,0.89,165.6,64.08
51701 00,Surgery,1.34,0.76,96.48,54.72
51702 00,Surgery,1.87,0.75,134.64,54
51703 00,Surgery,4.49,2.26,323.28,162.72
51705 00,Surgery,2.93,1.54,210.96,110.88
51710 00,Surgery,4.09,2.39,294.48,172.08
51715 00,Surgery,11.1,5.92,799.2,426.24
51720 00,Surgery,2.66,1.29,191.52,92.88
51725 00,Surgery,6.83,6.83,491.76,491.76
51725 26,Surgery,2.24,2.24,161.28,161.28
51725 TC,Surgery,4.59,4.59,330.48,330.48
51726 00,Surgery,9.01,9.01,648.72,648.72
51726 26,Surgery,2.48,2.48,178.56,178.56
51726 TC,Surgery,6.53,6.53,470.16,470.16
51727 00,Surgery,10.98,10.98,790.56,790.56
51727 26,Surgery,3.13,3.13,225.36,225.36
51727 TC,Surgery,7.85,7.85,565.2,565.2
51728 00,Surgery,10.91,10.91,785.52,785.52
51728 26,Surgery,3.05,3.05,219.6,219.6
51728 TC,Surgery,7.86,7.86,565.92,565.92
51729 00,Surgery,11.51,11.51,828.72,828.72
51729 26,Surgery,3.7,3.7,266.4,266.4
51729 TC,Surgery,7.81,7.81,562.32,562.32
51736 00,Surgery,0.41,0.41,29.52,29.52
51736 26,Surgery,0.24,0.24,17.28,17.28
51736 TC,Surgery,0.17,0.17,12.24,12.24
51741 00,Surgery,0.43,0.43,30.96,30.96
51741 26,Surgery,0.25,0.25,18,18
51741 TC,Surgery,0.18,0.18,12.96,12.96
51784 00,Surgery,1.93,1.93,138.96,138.96
51784 26,Surgery,1.09,1.09,78.48,78.48
51784 TC,Surgery,0.84,0.84,60.48,60.48
51785 00,Surgery,13.12,13.12,944.64,944.64
51785 26,Surgery,2.75,2.75,198,198
51785 TC,Surgery,10.37,10.37,746.64,746.64
51792 00,Surgery,8.22,8.22,591.84,591.84
51792 26,Surgery,1.64,1.64,118.08,118.08
51792 TC,Surgery,6.58,6.58,473.76,473.76
51797 00,Surgery,5.67,5.67,408.24,408.24
51797 26,Surgery,1.17,1.17,84.24,84.24
51797 TC,Surgery,4.5,4.5,324,324
51798 00,Surgery,0.34,0.34,24.48,24.48
51800 00,Surgery,30.9,30.9,2224.8,2224.8
51820 00,Surgery,32.32,32.32,2327.04,2327.04
51840 00,Surgery,20.87,20.87,1502.64,1502.64
51841 00,Surgery,24.09,24.09,1734.48,1734.48
51845 00,Surgery,17.45,17.45,1256.4,1256.4
51860 00,Surgery,22.34,22.34,1608.48,1608.48
51865 00,Surgery,26.75,26.75,1926,1926
51880 00,Surgery,14,14,1008,1008
51900 00,Surgery,24.61,24.61,1771.92,1771.92
51920 00,Surgery,22.83,22.83,1643.76,1643.76
51925 00,Surgery,32.42,32.42,2334.24,2334.24
51940 00,Surgery,48.66,48.66,3503.52,3503.52
51960 00,Surgery,41.15,41.15,2962.8,2962.8
51980 00,Surgery,21.34,21.34,1536.48,1536.48
51990 00,Surgery,22.22,22.22,1599.84,1599.84
51992 00,Surgery,25.06,25.06,1804.32,1804.32
51999 00,Surgery,0,0,BR,BR
52000 00,Surgery,7.19,2.38,517.68,171.36
52001 00,Surgery,13.15,8.47,946.8,609.84
52005 00,Surgery,9.1,3.95,655.2,284.4
52007 00,Surgery,13.47,4.92,969.84,354.24
52010 00,Surgery,11.45,4.89,824.4,352.08
52204 00,Surgery,11.31,4.19,814.32,301.68
52214 00,Surgery,22.31,5.15,1606.32,370.8
52224 00,Surgery,23.31,5.96,1678.32,429.12
52234 00,Surgery,7.25,7.25,522,522
52235 00,Surgery,8.51,8.51,612.72,612.72
52240 00,Surgery,11.55,11.55,831.6,831.6
52250 00,Surgery,7.05,7.05,507.6,507.6
52260 00,Surgery,6.22,6.22,447.84,447.84
52265 00,Surgery,11.17,4.81,804.24,346.32
52270 00,Surgery,12.58,5.36,905.76,385.92
52275 00,Surgery,16.14,7.32,1162.08,527.04
52276 00,Surgery,7.79,7.79,560.88,560.88
52277 00,Surgery,9.52,9.52,685.44,685.44
52281 00,Surgery,9.79,4.5,704.88,324
52282 00,Surgery,9.94,9.94,715.68,715.68
52283 00,Surgery,10.61,5.95,763.92,428.4
52284 00,Surgery,80.28,4.86,5780.16,349.92
52285 00,Surgery,10.51,5.8,756.72,417.6
52287 00,Surgery,11.62,4.99,836.64,359.28
52290 00,Surgery,7.18,7.18,516.96,516.96
52300 00,Surgery,8.25,8.25,594,594
52301 00,Surgery,8.55,8.55,615.6,615.6
52305 00,Surgery,8.19,8.19,589.68,589.68
52310 00,Surgery,9.58,4.48,689.76,322.56
52315 00,Surgery,14.08,8.09,1013.76,582.48
52317 00,Surgery,26.43,10.2,1902.96,734.4
52318 00,Surgery,13.94,13.94,1003.68,1003.68
52320 00,Surgery,7.25,7.25,522,522
52325 00,Surgery,9.42,9.42,678.24,678.24
52327 00,Surgery,7.62,7.62,548.64,548.64
52330 00,Surgery,18.04,7.76,1298.88,558.72
52332 00,Surgery,11.99,4.6,863.28,331.2
52334 00,Surgery,5.39,5.39,388.08,388.08
52341 00,Surgery,8.38,8.38,603.36,603.36
52342 00,Surgery,9.12,9.12,656.64,656.64
52343 00,Surgery,10.13,10.13,729.36,729.36
52344 00,Surgery,10.89,10.89,784.08,784.08
52345 00,Surgery,11.62,11.62,836.64,836.64
